,id,title,description,director,cast,rating
92,tt0076759,Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness",8.6
94,tt8579674,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth",8.2
98,tt0364569,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,"Choi Min-sik, 
Yoo Ji-tae, 
Kang Hye-jeong, 
Kim Byeong-Ok",8.4
99,tt4154756,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",8.4
106,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley",8.1
111,tt0167261,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom",8.8
112,tt0097576,Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,"Harrison Ford, 
Sean Connery, 
Alison Doody, 
Denholm Elliott",8.2
114,tt0083658,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"Harrison Ford, 
Rutger Hauer, 
Sean Young, 
Edward James Olmos",8.1
115,tt1345836,The Dark Knight Rises,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Christopher Nolan,"Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman",8.4
119,tt0088247,The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,"Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biehn, 
Paul Winfield",8.1
120,tt0103064,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",James Cameron,"Arnold Schwarzenegger, 
Linda Hamilton, 
Edward Furlong, 
Robert Patrick",8.6
126,tt4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",8.4
132,tt0090605,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,"Sigourney Weaver, 
Michael Biehn, 
Carrie Henn, 
Paul Reiser",8.4
138,tt12361974,Zack Snyder's Justice League,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"Henry Cavill, 
Ben Affleck, 
Gal Gadot, 
Amy Adams",8.0
140,tt0381061,Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell,"Daniel Craig, 
Eva Green, 
Judi Dench, 
Jeffrey Wright",8.0
145,tt1431045,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,"Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein",8.0
152,tt3315342,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"Hugh Jackman, 
Patrick Stewart, 
Dafne Keen, 
Boyd Holbrook",8.1
164,tt0372784,Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,"Christian Bale, 
Michael Caine, 
Ken Watanabe, 
Liam Neeson",8.2
175,tt0266697,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen",8.2
177,tt1663202,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,"Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson",8.0
184,tt0848228,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner",8.0
223,tt0095016,Die Hard,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, 
Alan Rickman, 
Bonnie Bedelia, 
Reginald VelJohnson",8.2
245,tt0080684,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams",8.7
257,tt0086190,Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams",8.3
272,tt0317705,The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee",8.0
279,tt0120735,"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,"Jason Flemyng, 
Dexter Fletcher, 
Nick Moran, 
Jason Statham",8.2
292,tt1291584,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Tom Hardy, 
Nick Nolte, 
Joel Edgerton, 
Jennifer Morrison",8.2
309,tt0434409,V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Hugo Weaving, 
Natalie Portman, 
Rupert Graves, 
Stephen Rea",8.2
325,tt15327088,Kantara,It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?,Rishab Shetty,"Rishab Shetty, 
Kishore Kumar G., 
Achyuth Kumar, 
Sapthami Gowda",8.3
333,tt0892769,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois, 
Chris Sanders","Jay Baruchel, 
Gerard Butler, 
Christopher Mintz-Plasse, 
Craig Ferguson",8.1
464,tt1979320,Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,"Daniel Brühl, 
Chris Hemsworth, 
Olivia Wilde, 
Alexandra Maria Lara",8.1
468,tt0047478,Seven Samurai,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",Akira Kurosawa,"Toshirô Mifune, 
Takashi Shimura, 
Keiko Tsushima, 
Yukiko Shimazaki",8.6
469,tt0378194,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah",8.0
496,tt0119698,Princess Mononoke,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup",8.4
527,tt1954470,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Manoj Bajpayee, 
Nawazuddin Siddiqui, 
Tigmanshu Dhulia, 
Richa Chadha",8.2
539,tt0094625,Akira,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Katsuhiro Ôtomo,"Mitsuo Iwata, 
Nozomu Sasaki, 
Mami Koyama, 
Tesshô Genda",8.0
659,tt11032374,Demon Slayer the Movie: Mugen Train,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki,"Natsuki Hanae, 
Akari Kitô, 
Yoshitsugu Matsuoka, 
Hiro Shimono",8.2
667,tt3396910,Banshee,"A thief gets out of prison after many years and decides to try and locate someone from his past. After a series of events, he ends up becoming sheriff. Now he has to face his past while in his new position as sheriff.",Gemma Mc Carthy,"Antony Starr, 
Jonathan O' Dwyer, 
Sean Flood, 
Frank Hurley",8.5
724,tt0053125,North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"Cary Grant, 
Eva Marie Saint, 
James Mason, 
Jessie Royce Landis",8.3
801,tt0440963,The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"Matt Damon, 
Edgar Ramírez, 
Joan Allen, 
Julia Stiles",8.0
823,tt2631186,Baahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",S.S. Rajamouli,"Prabhas, 
Rana Daggubati, 
Anushka Shetty, 
Tamannaah Bhatia",8.0
869,tt7720142,Assassin Club,An assassin is given a contract to kill seven people around the world only to discover the targets are also assassins who have been hired to kill him.,Camille Delamarre,"Henry Golding, 
Daniela Melchior, 
Sam Neill, 
Noomi Rapace",8.0
886,tt0129167,The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"Eli Marienthal, 
Harry Connick Jr., 
Jennifer Aniston, 
Vin Diesel",8.1
980,tt0089881,Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"Tatsuya Nakadai, 
Akira Terao, 
Jinpachi Nezu, 
Daisuke Ryû",8.2
999,tt20850406,Sita Ramam,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Hanu Raghavapudi,"Dulquer Salmaan, 
Mrunal Thakur, 
Rashmika Mandanna, 
Sumanth",8.6
1008,tt0056058,Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"Tatsuya Nakadai, 
Akira Ishihama, 
Shima Iwashita, 
Tetsurô Tanba",8.6
1014,tt1220719,Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,"Donnie Yen, 
Simon Yam, 
Siu-Wong Fan, 
Ka-Tung Lam",8.0
1061,tt9179430,Vikram,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,"Kamal Haasan, 
Vijay Sethupathi, 
Fahadh Faasil, 
Narain",8.3
1069,tt9900782,Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Lokesh Kanagaraj,"Karthi, 
Narain, 
Arjun Das, 
George Maryan",8.5
1098,tt23490586,Amigos,"Plot revolves around the 2 Doppelgangers, Siddharth an entrepreneur and Manjunath a software engineer of the Gangster Michael.",Rajendra Reddy,"Nithin Prasanna, 
Nandamuri Kalyan Ram, 
Ashika Ranganath",8.1
1185,tt10698680,K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"Yash, 
Sanjay Dutt, 
Raveena Tandon, 
Srinidhi Shetty",8.3
1295,tt10295212,Shershaah,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Vishnuvardhan,"Sidharth Malhotra, 
Kiara Advani, 
Shiv Panditt, 
Pranay Pachauri",8.4
1308,tt5074352,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan, 
Sakshi Tanwar, 
Fatima Sana Shaikh, 
Sanya Malhotra",8.3
1321,tt5198068,Wolfwalkers,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Tomm Moore, 
Ross Stewart","Honor Kneafsey, 
Eva Whittaker, 
Sean Bean, 
Simon McBurney",8.0
1372,tt0338564,Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Andrew Lau, 
Alan Mak","Andy Lau, 
Tony Chiu-Wai Leung, 
Anthony Chau-Sang Wong, 
Eric Tsang",8.0
1398,tt0169858,Neon Genesis Evangelion: The End of Evangelion,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,"Hideaki Anno, 
Kazuya Tsurumaki","Megumi Ogata, 
Megumi Hayashibara, 
Yûko Miyamura, 
Kotono Mitsuishi",8.1
1459,tt0055630,Yojimbo,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"Toshirô Mifune, 
Eijirô Tôno, 
Tatsuya Nakadai, 
Yôko Tsukasa",8.2
1538,tt4849438,Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",S.S. Rajamouli,"Prabhas, 
Rana Daggubati, 
Anushka Shetty, 
Tamannaah Bhatia",8.2
1639,tt0861739,Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,"Wagner Moura, 
André Ramiro, 
Caio Junqueira, 
Milhem Cortaz",8.0
1680,tt6019206,Kill Bill: The Whole Bloody Affair,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",Quentin Tarantino,"Uma Thurman, 
Lucy Liu, 
Vivica A. Fox, 
Michael Madsen",8.8
1699,tt7838252,K.G.F: Chapter 1,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Prashanth Neel,"Yash, 
Srinidhi Shetty, 
Ramachandra Raju, 
Archana Jois",8.2
1885,tt2458948,Evangelion: 3.0+1.01 Thrice Upon a Time,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.","Mahiro Maeda, 
Katsuichi Nakayama, 
Kazuya Tsurumaki, 
Hideaki Anno, 
Joe Fria","Megumi Ogata, 
Megumi Hayashibara, 
Yûko Miyamura, 
Akira Ishida",8.0
1901,tt0017925,The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Clyde Bruckman, 
Buster Keaton","Buster Keaton, 
Marion Mack, 
Glen Cavender, 
Jim Farley",8.1
1946,tt1128075,Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.",Sion Sono,"Takahiro Nishijima, 
Hikari Mitsushima, 
Sakura Ando, 
Yutaka Shimizu",8.0
1960,tt4139928,The Legend of Maula Jatt,"Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",Bilal Lashari,"Fawad Khan, 
Mahira Khan, 
Humaima Malik, 
Hamza Ali Abbasi",8.8
1970,tt24225212,Mechamato Movie,"After a mysterious spaceship crash landed on Earth, a boy named Amato came across a powerful robot named MechaBot. By outsmarting MechaBot and becoming its master, Amato can now utilize ...                See full summary »",Nizam Razak,"Armand Ezra, 
Muhamad Noradzlan Mohamad Nazir, 
Ielham Iskandar, 
Fadzli Mohd Rawi",8.0
2051,tt10935956,Kira & El Gin,Two men team up to fight against British occupation in Egypt during the 1919 revolution.,Marwan Hamed,"Karim Abdel Aziz, 
Ahmed Ezz, 
Hind Sabri, 
Razane Jammal",8.0
2154,tt3863552,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"Salman Khan, 
Harshaali Malhotra, 
Nawazuddin Siddiqui, 
Kareena Kapoor",8.1
2165,tt0051808,The Hidden Fortress,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Akira Kurosawa,"Toshirô Mifune, 
Misa Uehara, 
Minoru Chiaki, 
Kamatari Fujiwara",8.1
2267,tt0015324,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"Buster Keaton, 
Kathryn McGuire, 
Joe Keaton, 
Erwin Connelly",8.2
2275,tt9851854,Major,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Sashi Kiran Tikka,"Adivi Sesh, 
Prakash Raj, 
Revathi, 
Saiee Manjrekar",8.2
2351,tt0042041,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,"James Cagney, 
Virginia Mayo, 
Edmond O'Brien, 
Margaret Wycherly",8.1
2481,tt22037066,Malikappuram,An intense desire of Kallu an 8 year old girl from Panchalimedu village to visit Sabarimala.,Vishnu Sasi Shankar,"Unni Mukundan, 
Saiju Kurup, 
Deva Nandha, 
Sreepath",8.0
2491,tt14672882,The Tomorrow Job,A team of thieves use a drug that allows them to trade consciousnesses with their future-selves in order to steal tomorrow's secrets.,Bruce Wemple,"Grant Schumacher, 
Caitlin Duffy, 
Ariella Mastroianni, 
Chris Cimperman",8.1
2511,tt3390572,Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,"Shahid Kapoor, 
Tabu, 
Shraddha Kapoor, 
Kay Kay Menon",8.0
2554,tt1555149,Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,"Wagner Moura, 
Irandhir Santos, 
André Ramiro, 
Milhem Cortaz",8.0
2600,tt10189514,Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,"Suriya, 
Paresh Rawal, 
Prakash Belawadi, 
Aparna Balamurali",8.7
2613,tt0195231,Satya,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,Ram Gopal Varma,"J.D. Chakravarthi, 
Manoj Bajpayee, 
Urmila Matondkar, 
Paresh Rawal",8.3
2628,tt7060344,Raatchasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,"Vishnu Vishal, 
Amala Paul, 
Radha Ravi, 
Sangili Murugan",8.3
2638,tt0073707,Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"Sanjeev Kumar, 
Dharmendra, 
Amitabh Bachchan, 
Amjad Khan",8.1
2671,tt1280558,A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"Anupam Kher, 
Naseeruddin Shah, 
Veerendra Saxena, 
Mahesh Kanual",8.1
2834,tt8291224,Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"Vicky Kaushal, 
Paresh Rawal, 
Mohit Raina, 
Yami Gautam",8.2
